institution,year,rank,score
60000481,2016,148,162
60000481,2017,157,158
60000481,2018,165,158
60000481,2019,161,162
60000481,2020,174,162
60000485,2001,1531,1
60000485,2002,1581,1
60000485,2003,1627,1
60000485,2004,1421,2
60000485,2005,1474,2
60000485,2006,1857,1
60000485,2007,1963,1
60000485,2008,1728,2
60000485,2009,2176,1
60000485,2010,2287,1
60000485,2011,1674,3
60000485,2012,1444,5
60000485,2013,1495,5
60000485,2014,1534,5
60000485,2015,1604,5
60000485,2016,1535,6
60000485,2017,1675,5
60000485,2018,1890,4
60000485,2019,1656,6
60000485,2020,1587,7
60000497,1994,618,1
60000497,1995,584,3
60000497,1996,644,4
60000497,1997,578,7
60000497,1998,556,10
60000497,1999,586,10
60000497,2000,614,10
60000497,2001,609,11
60000497,2002,621,11
60000497,2003,548,15
60000497,2004,549,17
60000497,2005,492,22
60000497,2006,529,22
60000497,2007,502,25
60000497,2008,490,29
60000497,2009,500,31
60000497,2010,477,35
60000497,2011,431,42
60000497,2012,453,43
60000497,2013,515,39
60000497,2014,545,38
60000497,2015,613,32
60000497,2016,664,30
60000497,2017,673,30
60000497,2018,729,27
60000497,2019,734,28
60000497,2020,680,33
60000508,2000,1481,1
60000508,2001,1531,1
60000508,2002,1581,1
60000508,2003,1627,1
60000508,2004,1694,1
60000508,2005,1759,1
60000508,2006,1543,2
60000508,2007,1631,2
60000508,2008,1488,3
60000508,2009,1297,5
60000508,2010,1461,4
60000508,2011,1291,6
60000508,2012,1251,7
60000508,2013,1220,8
60000508,2014,1265,8
60000508,2015,1243,9
60000508,2016,1424,7
60000508,2017,1286,9
60000508,2018,1202,11
60000508,2019,1364,9
60000508,2020,1492,8
60000509,2009,2176,1
60000509,2010,2287,1
60000509,2011,1924,2
60000509,2012,2015,2
60000509,2013,2091,2
60000509,2014,2623,1
60000509,2015,2723,1
60000509,2018,2944,1
60000509,2019,3037,1
60000509,2020,2568,2
60000520,1994,618,1
60000520,1995,868,1
60000520,1996,1086,1
60000520,1997,1226,1
60000520,1998,1367,1
60000520,2005,1759,1
60000520,2006,1543,2
60000520,2007,1631,2
60000520,2008,1488,3
60000520,2009,1572,3
60000520,2010,1855,2
60000520,2011,2363,1
60000520,2012,2446,1
60000521,1994,618,1
60000521,1995,372,7
60000521,1996,396,10
60000521,1997,493,10
60000521,1998,517,12
60000521,1999,511,13
60000521,2000,614,10
60000521,2001,670,9
60000521,2002,599,12
60000521,2003,686,10
60000521,2004,683,11
60000521,2005,752,10
60000521,2006,742,12
60000521,2007,744,13
60000521,2008,670,17
60000521,2009,759,16
60000521,2010,815,15
60000521,2011,867,14
60000521,2012,973,12
60000521,2013,1016,12
60000521,2014,884,16
60000521,2015,841,19
60000521,2016,907,17
60000521,2017,880,19
60000521,2018,866,20
60000521,2019,814,23
60000521,2020,823,24
60000556,2007,1963,1
60000556,2008,1728,2
60000556,2009,1800,2
60000556,2010,1855,2
60000556,2011,1924,2
60000556,2012,2446,1
60000583,1996,858,2
60000583,1997,998,2
60000583,1998,1121,2
60000583,1999,1007,3
60000583,2000,938,4
60000583,2001,875,5
60000583,2002,780,7
60000583,2003,722,9
60000583,2004,647,12
60000583,2005,600,16
60000583,2006,628,16
60000583,2007,596,19
60000583,2008,564,23
60000583,2009,561,26
60000583,2010,512,32
60000583,2011,431,42
60000583,2012,397,51
60000583,2013,398,53
60000583,2014,359,63
60000583,2015,388,62
60000583,2016,346,72
60000583,2017,372,70
60000583,2018,350,76
60000583,2019,364,75
60000583,2020,350,81
60000590,1998,1121,2
60000590,1999,1164,2
60000590,2000,1058,3
60000590,2001,1083,3
60000590,2002,1129,3
60000590,2003,1627,1
60000590,2004,1694,1
60000590,2006,1857,1
60000590,2007,1963,1
60000590,2008,1488,3
60000590,2009,1572,3
60000590,2010,1616,3
60000590,2011,1924,2
60000590,2012,2015,2
60000590,2013,2091,2
60000590,2014,1891,3
60000590,2015,1975,3
60000590,2016,1653,5
60000590,2017,1675,5
60000590,2018,2106,3
60000590,2019,2154,3
60000590,2020,2003,4
60000602,1997,1226,1
60000602,1998,1367,1
60000602,1999,1426,1
60000602,2000,1481,1
60000602,2001,1531,1
60000602,2011,2363,1
60000602,2012,2446,1
60000602,2013,2543,1
60000602,2014,2623,1
60000602,2015,2258,2
60000602,2016,2778,1
60000602,2017,2831,1
60000602,2018,2944,1
60000602,2019,3037,1
60000627,2011,2363,1
60000627,2012,2446,1
60000627,2013,2543,1
60000627,2014,2623,1
60000627,2015,2723,1
60000636,2018,2944,1
60000636,2019,3037,1
60000636,2020,3168,1
60000650,1999,1426,1
60000650,2000,1481,1
60000650,2001,1531,1
60000650,2002,1581,1
60000650,2003,1627,1
60000650,2006,1857,1
60000650,2007,1631,2
60000650,2008,1728,2
60000650,2009,1297,5
60000650,2010,1342,5
60000650,2011,1291,6
60000650,2012,1444,5
60000650,2013,1394,6
60000650,2014,1686,4
60000650,2015,1604,5
60000650,2016,2013,3
60000650,2017,1844,4
60000650,2018,2106,3
60000650,2019,2154,3
60000650,2020,2219,3
60000658,1996,1086,1
60000658,1997,857,3
60000658,1998,859,4
60000658,1999,903,4
60000658,2000,846,5
60000658,2001,875,5
60000658,2002,1007,4
60000658,2003,959,5
60000658,2004,1008,5
60000658,2005,1153,4
60000658,2006,1123,5
60000658,2007,1086,6
