institution,2000,2001,2002,2003,2004
University of Warwick,52,11,16,13,11
University of Washington,72,67,62,62,48
University of Waterloo,31,16,14,16,3
University of West Alabama,0,0,0,0,1
University of West Florida,21,14,14,14,8
University of West Georgia,10,11,13,14,10
University of Western Australia,7,11,11,12,0
University of Western Ontario,11,4,4,5,0
University of Windsor,5,4,3,6,0
"University of Wisconsin, Eau Claire",28,14,12,13,9
"University of Wisconsin, Green Bay",10,8,8,8,5
"University of Wisconsin, La Crosse",15,15,14,17,11
"University of Wisconsin, Madison",66,61,57,55,34
"University of Wisconsin, Milwaukee",39,35,37,36,25
"University of Wisconsin, Oshkosh",15,15,17,19,12
