node,first_ev-w_mean,first_ev-w-win99_mean,first_ev-w-std_mean,first_ev-w-win99-std_mean,first_deg_mean,second_ev-w_mean,second_ev-w-win99_mean,second_ev-w-std_mean,second_ev-w-win99-std_mean,second_deg_mean,first_dec,second_dec,third_dec,adv_ev-w,adv_ev-w-win99,adv_ev-w-std,adv_ev-w-win99-std,adv_deg,adv_ev-w_d,adv_ev-w-win99_d,adv_ev-w-std_d,adv_ev-w-win99-std_d
24495144300,1.2504137117505406e-07,1.2504137117505406e-07,-0.04540007687846024,-0.13476569999798424,3.6666666666666665,2.5298682679653955e-06,2.5298682679653955e-06,-0.04493673443547919,0.019747697452339542,8.545454545454545,0,0,0,5.889257922727584e-09,5.889257922727584e-09,-0.04542241985717051,-0.14242198068337997,3,5.889209009598878e-09,5.889209009598878e-09,-0.045440850995979505,-0.14240203453789207
24784705200,4.2158421366233764e-08,4.2158421366233764e-08,-0.04541604603077598,-0.14009102656122666,7.833333333333333,2.358111994466571e-07,2.358111994466571e-07,-0.04537873459210013,-0.12764857201667457,9.0,0,0,0,1.0530072147057995e-08,1.0530072147057995e-08,-0.04542152569087323,-0.14212377365576065,6,1.0530004216659734e-08,1.0530004216659734e-08,-0.04543995719471124,-0.14210467891432244
24787899900,3.874298338572554e-09,3.874298338572554e-09,-0.045423422391733345,-0.14255085954773566,7.625,3.1461985688106074e-08,3.1461985688106074e-08,-0.045418107021022135,-0.14077831312715947,7.684210526315789,0,0,0,4.31360856339517e-10,4.31360856339517e-10,-0.04542347145444953,-0.14277269139545434,8,4.312513711766085e-10,4.312513711766085e-10,-0.04544190217993434,-0.142751749258016
26326476000,1.9802089201957832e-07,1.9802089201957832e-07,-0.04538601570145422,-0.1300766427843759,12.222222222222221,9.865506904375644e-07,9.865506904375644e-07,-0.04523408820777529,-0.07941253084787152,10.509803921568627,0,0,0,1.4219973574348212e-08,1.4219973574348212e-08,-0.04542081474116978,-0.14188666988826407,9,1.4209118277525582e-08,1.4209118277525582e-08,-0.045439248609939246,-0.1418689423202818
26431064500,6.6212054612182825e-12,6.6212054612182825e-12,-0.04542601062995515,-0.14279750493995055,3.0,1.7119716605877896e-10,1.7119716605877896e-10,-0.045425978922081924,-0.14278693373171517,3.0,0,0,0,6.285452344040989e-14,6.285452344040989e-14,-0.04542355455455194,-0.1428004055182187,3,6.285340710043226e-14,6.285340710043226e-14,-0.04544198522536661,-0.14277937735295593
26643094700,2.2260416743085556e-09,2.2260416743085556e-09,-0.04542435429629431,-0.14265615684086572,5.0,3.2185490856312e-08,3.2185490856312e-08,-0.045418582031594705,-0.14073140483927454,6.8,0,0,0,2.2515095581379014e-11,2.2515095581379014e-11,-0.04542355022857889,-0.14279896279378596,2,2.2514759662464204e-11,2.2514759662464204e-11,-0.04544198090120633,-0.1427779387631697
26643593100,4.705622570257376e-13,4.705622570257376e-13,-0.04542416877335158,-0.14279975916896598,1.5,5.475685627356655e-11,5.475685627356655e-11,-0.04542415831391098,-0.14279627120076924,2.0,0,0,0,3.3058976321944625e-14,3.3058976321944625e-14,-0.04542355456029278,-0.14280040743280548,2,3.3058935364273514e-14,3.3058935364273514e-14,-0.045441985231104924,-0.14277937926201534
26657404900,9.36777826966439e-06,9.36777826966439e-06,-0.04361925093776403,0.45909626909240747,10.916666666666666,6.262568614438121e-05,3.795216600093295e-06,-0.03335795139738901,0.10105170979528107,10.521367521367521,0,0,2,1.5964870638682173e-06,1.5964870638682173e-06,-0.04511595231034684,-0.040214173837319935,12,1.5964866302172558e-06,1.5964866302172558e-06,-0.045134507378359036,-0.04048564587418739
27169590700,9.585748616590453e-06,9.585748616590453e-06,-0.04357725865173543,0.47309965744632776,12.363636363636363,1.8571431664530474e-05,1.9873463746529573e-06,-0.041845970491386685,-0.01510790054939344,8.741071428571429,0,0,0,1.0452877752773628e-06,1.0452877752773628e-06,-0.04522215432644039,-0.0756328511493333,11,1.0452872483465003e-06,1.0452872483465003e-06,-0.045240666492174425,-0.07580335083518376
35247685600,3.619265415450269e-10,3.619265415450269e-10,-0.045424099130307524,-0.14277653494761489,3.0,7.655868118126935e-09,7.655868118126935e-09,-0.045422693793102764,-0.1423078892845694,4.0,0,0,0,5.4463123876058584e-11,5.4463123876058584e-11,-0.04542354407301032,-0.14279690989399393,1,5.446285978953874e-11,5.446285978953874e-11,-0.045441974748111624,-0.14277589171157373
35281139200,1.3326397244225477e-08,1.3326397244225477e-08,-0.04542160123732045,-0.14194354860425806,13.8,6.4038470027902e-08,6.4038470027902e-08,-0.04541183044852745,-0.13868522898090588,8.39655172413793,0,0,0,7.745480736786446e-10,7.745480736786446e-10,-0.04542340533104347,-0.14275063904966917,5,2.6205531544369424e-10,2.6205531544369424e-10,-0.045441934766515396,-0.14276259037390523
35293058900,3.796101286891743e-09,3.796101286891743e-09,-0.04542650936885989,-0.1425529023020093,6.142857142857143,4.465882619432458e-08,4.465882619432458e-08,-0.045418636802353536,-0.1399286666268753,7.0,0,0,0,3.8339030755647615e-10,3.8339030755647615e-10,-0.045423480697148313,-0.14277577386203766,8,3.833370877208962e-10,3.833370877208962e-10,-0.04544191140806129,-0.14275481933135456
35309835200,4.1886561788971244e-10,4.1886561788971244e-10,-0.045426545603232234,-0.14277040845711164,5.666666666666667,2.108504437487725e-09,2.108504437487725e-09,-0.04542622007493738,-0.14266188821649697,5.387096774193548,0,0,0,2.978959768370498e-11,2.978959768370498e-11,-0.04542354882696825,-0.14279849535261196,9,2.978585801738498e-11,2.978585801738498e-11,-0.04544197950081768,-0.14277747287275894
35320878200,1.4648663715336956e-06,1.4648663715336956e-06,-0.04514315357578313,-0.04869243489359247,7.785714285714286,1.8995707741867702e-05,6.065531633240756e-06,-0.04176554495809666,0.24685017534568565,7.974683544303797,0,0,0,1.41760272757015e-06,1.41760272757015e-06,-0.04515041875026366,-0.05170883051532939,16,1.4176009063271928e-06,1.4176009063271928e-06,-0.045168960156331935,-0.05194762029919663
35336120000,3.1818852894476865e-08,3.1818852894476865e-08,-0.04541865260348376,-0.14075494363414032,10.222222222222221,1.4862177797071747e-07,1.4862177797071747e-07,-0.04539614827114006,-0.13325091161739744,9.735849056603774,0,1,0,5.326502820723756e-09,5.326502820723756e-09,-0.04542252828569651,-0.1424581419081423,10,5.325792993333184e-09,5.325792993333184e-09,-0.045440959507975276,-0.14243813501493768
35350444400,3.702252619535803e-06,3.702252619535803e-06,-0.04471519792327922,0.09492735199060724,8.592592592592593,2.0730216054928732e-05,6.233044690931843e-06,-0.04143469807517711,0.2574257823389259,9.123711340206185,0,0,1,2.3704200923838586e-06,2.3704200923838586e-06,-0.0449668351949023,0.009516812333186452,33,2.3704189314514626e-06,2.3704189314514626e-06,-0.044985450666841544,0.009103511105643565
35422484100,1.021886957029975e-06,1.021886957029975e-06,-0.04523159497136642,-0.07718008137206468,8.0,9.329737463655082e-06,3.3375448162699987e-06,-0.04363105698297744,0.07150492232390421,8.636363636363637,0,0,0,5.555357134898031e-07,5.555357134898031e-07,-0.0453165170323154,-0.10710308450847451,24,5.555340645910778e-07,5.555340645910778e-07,-0.04533499127860522,-0.10718393473365849
35424515800,3.867983898088652e-08,3.867983898088652e-08,-0.04541978869804211,-0.1403126396304655,5.666666666666667,5.306755388965458e-07,5.306755388965458e-07,-0.045325001361240645,-0.10871629669891705,10.705882352941176,0,0,0,1.2281974337033673e-09,1.2281974337033673e-09,-0.045423317924405564,-0.14272148868494972,6,1.228111050536943e-09,1.228111050536943e-09,-0.04544174870748829,-0.14270069104573094
35434749600,1.7839743874810728e-08,1.7839743874810728e-08,-0.0454207316365552,-0.14165355919257444,8.0,1.550523348027231e-07,1.550523348027231e-07,-0.04539429463305477,-0.13283746366289095,6.375,0,0,0,1.2491257103763723e-09,1.2491257103763723e-09,-0.04542331389206151,-0.14272014388662813,5,1.248969616018256e-09,1.248969616018256e-09,-0.045441744690199994,-0.14269935454811172
35494272100,1.0917816012452258e-07,1.0917816012452258e-07,-0.04540313281929465,-0.1357847811772636,7.84,6.232907199477766e-07,6.232907199477766e-07,-0.04530407780217521,-0.10275235058618297,8.9874213836478,0,0,0,4.462855817013902e-08,4.462855817013902e-08,-0.04541495578406032,-0.13993269086904797,25,,,,
35508864200,6.147947200304509e-07,6.147947200304509e-07,-0.04530571028703052,-0.10329673258755259,12.88888888888889,3.668928674392287e-06,3.668928674392287e-06,-0.044717264653301454,0.09293552705716983,11.866666666666667,0,0,1,4.778765860882944e-07,4.778765860882944e-07,-0.04533147996145703,-0.11209326434125053,18,4.778326604818634e-07,4.778326604818634e-07,-0.04534995630301154,-0.11216259645869622
35565727600,3.661908704438231e-07,3.661908704438231e-07,-0.04535607419607187,-0.11927774793767733,7.642857142857143,3.5902713478451247e-06,2.7117692669051497e-06,-0.04473491811936845,0.03137147506100224,8.978494623655914,0,0,2,9.890596509743575e-08,9.890596509743575e-08,-0.04540449791489516,-0.13644496147410357,16,9.886530018065975e-08,9.886530018065975e-08,-0.04542294411914078,-0.1364446581974807
